LiDAR Coverage Area Analysis
==================================================

Total number of LiDAR tiles: 3,152
Total area covered: 115,429.67 hectares
Total area covered: 1,154.30 square kilometers
Total area covered: 1,154,296,712 square meters

Individual Tile Areas:
--------------------------------------------------
Tile Name                                Area (hectares)
AND_A01_2013_laz_optional_5.laz          75.71          
AND_A01_2017_LAS_8.laz                   75.71          
AND_A01_2013_laz_optional_8.laz          75.71          
AND_A01_2017_LAS_13.laz                  75.71          
AND_A01_2013_laz_optional_7.laz          75.71          
AND_A01_2017_LAS_11.laz                  75.71          
AND_A01_2013_laz_optional_3.laz          75.71          
AND_A01_2017_LAS_7.laz                   75.71          
AND_A01_2013_laz_optional_2.laz          75.71          
AND_A01_2017_LAS_4.laz                   75.71          
CAN_A01_2014_laz_6.laz                   75.69          
TAP_A02_2018_LAS_2.laz                   75.68          
TAC_A01_2013_laz_12.laz                  75.67          
ANA_A01_2017_laz_9.laz                   75.66          
CAN_A01_2014_laz_5.laz                   75.44          
TAP_A03_2018_LAS_0.laz                   75.35          
HUM_A01_2013_laz_9.laz                   74.82          
SDM_A01_2012_laz_14.laz                  74.47          
JAC_A03_2015_laz_4.laz                   74.44          
ST3_A01_2018_P06_LAS_3.laz               74.31          
ST3_A01_2014_P30_laz_5.laz               73.96          
FNB_A01_2014_laz_13.laz                  73.84          
ST3_A01_2018_P09_LAS_4.laz               73.83          
SDM_A01_2012_laz_18.laz                  73.81          
FN3_A01_2014_P23_laz_0.laz               73.28          
FNB_A01_2014_laz_19.laz                  73.28          
BON_A01_2018_LAS_12.laz                  73.13          
ANA_A01_2018_LAS_5.laz                   73.09          
SFX_A01_2012_laz_3.laz                   72.88          
ANA_A01_2018_LAS_8.laz                   72.51          
TAP_A04_2018_LAS_12.laz                  72.27          
HUM_A01_2018_LAS_3.laz                   72.20          
BON_A01_2013_laz_2.laz                   71.89          
JAM_A02b_2014_laz_6.laz                  71.84          
JAM_A02b_2014_laz_8.laz                  71.84          
JAM_A02b_2014_laz_9.laz                  71.84          
JAM_A02_2015_laz_12.laz                  71.83          
JAM_A02_2015_laz_9.laz                   71.82          
JAM_A02_2015_laz_6.laz                   71.81          
JAM_A02_2015_laz_3.laz                   71.80          
JAM_A02_2015_laz_0.laz                   71.79          
JAM_A02_2015_laz_4.laz                   71.78          
JAM_A02a_2014_laz_2.laz                  71.77          
JAM_A02a_2014_laz_4.laz                  71.77          
JAM_A02a_2014_laz_3.laz                  71.77          
FN3_A01_2014_P12_laz_5.laz               71.65          
JAM_A02_2011_laz_8.laz                   71.59          
JAM_A02_2013_laz_2.laz                   71.59          
JAM_A02_2011_laz_1.laz                   71.59          
JAM_A02_2013_laz_5.laz                   71.59          
JAM_A02_2011_laz_2.laz                   71.59          
JAM_A02_2013_laz_6.laz                   71.59          
JAM_A02_2011_laz_7.laz                   71.59          
JAM_A02_2013_laz_1.laz                   71.59          
TAP_A01_2012_laz_0.laz                   71.54          
TAP_A05_2008_16-01.laz                   71.49          
TAP_A05_2008_laz_0.laz                   71.49          
ANA_A01_2017_laz_3.laz                   71.48          
ST3_A01_2018_P27_LAS_1.laz               71.24          
ANA_A01_2017_laz_12.laz                  71.07          
ST3_A01_2014_P09_laz_9.laz               70.84          
ST3_A01_2014_P13_laz_4.laz               70.80          
FN3_A01_2014_P19_laz_3.laz               70.79          
FN3_A01_2014_P10_laz_3.laz               70.67          
DUC_A01_2017_LAS_6.laz                   70.48          
ST3_A01_2018_P03_LAS_2.laz               70.37          
ST3_A01_2018_P24_LAS_5.laz               70.01          
ANA_A01_2018_LAS_2.laz                   69.98          
FNA_A01_2013_laz_6.laz                   69.80          
